benchmark_id,family_role,grid_row,grid_col,candidate_uid,sre,entanglement_q,sre_norm,ent_norm,n_samples,repeats,runtime_magic_mean_s,runtime_entanglement_mean_s,runtime_total_mean_s,top_group_magic,top_margin_magic,top_group_entanglement,top_margin_entanglement,magic_E,entanglement_E,magic_abs_share_E,entanglement_abs_share_E,magic_M,entanglement_M,magic_abs_share_M,entanglement_abs_share_M,magic_X,entanglement_X,magic_abs_share_X,entanglement_abs_share_X
I33,interior,3,3,pool_08234,0.5949850756056136,0.499514015808338,0.4921841824763448,0.499514015808338,300,5,20.90458800840006,0.45824135020029644,21.362829358600358,M,0.08026172731708983,E,0.001914847418183152,0.1701733147234791,0.2546771769064421,0.29045894975884584,0.5018867740824792,0.25043504204056893,-1.389999226830696e-16,0.4274530317054454,2.739241248097688e-16,0.16526897586683104,0.25276232948825894,0.2820880185357088,0.49811322591752066
I34,interior,3,4,pool_02068,0.6187273049953901,0.6891793609520558,0.5118242545411419,0.6891793609520558,300,5,42.00702419980007,1.274574775199835,43.28159897499991,M,0.3392023244026302,E,0.178520381877127,-4.4704980458239644e-17,0.40697613356775214,7.08541297865316e-17,0.5848810539292937,0.4850731085291171,0.22845575169062515,0.7688054582594883,0.3283225472060201,0.14587078412648694,0.060395293333992565,0.2311945417405116,0.0867963988646862
I35,interior,3,5,pool_02349,0.6147105484368596,0.8996884863305661,0.5085015089395744,0.8996884863305661,300,5,45.18052361659993,1.4279381664000539,46.60846178299998,M,0.6063265962410557,E,0.07548347264496713,-0.10594295751538167,0.4774821175346463,0.13167811051477407,0.5268086680022903,0.6524718836089557,0.4019986448896792,0.8109672111538782,0.4435273340633349,0.046145287367900065,0.02688647588499262,0.05735467833134771,0.029663997934374818
E4,entanglement_axis,4,0,pool_07823,2.6645352591003757e-15,0.6666666666666685,2.9388795606228004e-15,0.6666666666666685,300,5,2.942425166599969,0.08453393339996182,3.0269590999999307,E,0.0,E,0.6666666666666641,0.0,0.6666666666666641,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I41,interior,4,1,pool_09515,0.8525998935288155,0.0955792288800241,0.7052885841695544,0.0955792288800241,300,5,42.50533644139959,1.7105335914000535,44.21587003279964,M,0.4463161514288586,E,0.37388917356138057,0.12972354624922272,0.3738891735613811,0.15074450878351883,0.5793199010032667,0.5885724940612967,-0.2715041107257273,0.6839473177082711,0.4206800989967324,0.14225634263243814,5.79832478327565e-16,0.16530817350821014,8.984172789588888e-16
I42,interior,4,2,pool_01918,0.8439719011909919,0.3020828880672572,0.6981513272377204,0.3020828880672572,300,5,39.1719720416002,1.155030866400375,40.32700290800057,M,0.4398601727778852,M,0.0024166631045392517,0.05046171598452921,0.1510414440336274,0.060453407346979425,0.496031746031743,0.61205962377438,0.15345810713816666,0.7332507235389206,0.5039682539682548,0.17219945099649475,6.554756737386924e-16,0.20629586911409986,2.152632643352835e-15
I43,interior,4,3,pool_04501,0.8446832031653417,0.5037692694858007,0.6987397312079929,0.5037692694858007,300,5,42.1436231583999,1.2832747000000382,43.42689785839993,M,0.0864055013653609,E,0.036205739960306016,-0.0035118508793907394,0.2780516761891437,0.004166181062421165,0.533052717280428,0.46291805114187057,-0.001723734168019518,0.5491692228272406,0.0033045698365324126,0.37651254977650966,0.2418459362288377,0.4466645961103383,0.4636427128830396
I44,interior,4,4,pool_07503,0.8499850652600935,0.6945554450358189,0.7031255431681528,0.6945554450358189,300,5,42.19870090000004,1.2852668997995351,43.48396779979958,M,0.13599543193612718,M,0.021471543109574776,0.16312774061124377,0.329363971706914,0.19215632943599828,0.4842167308745562,0.41090006306481175,0.3508355148164888,0.4840197478840838,0.5157832691254433,0.2749046311286846,3.7111054969803566e-16,0.3238239226799179,5.455907524935586e-16
I45,interior,4,5,pool_01608,0.8588375819538796,0.9031176938232972,0.7104485313747971,0.9031176938232972,300,5,21.160985991600135,0.775139333199877,21.936125324800013,M,0.5756406540421175,M,0.011176559162675348,0.14609870456259808,0.4536820204260868,0.16834788742658682,0.4939161321979155,0.7217393586047156,0.46485857958876214,0.8316521125734131,0.5060838678020845,0.0,0.0,0.0,0.0
E5,entanglement_axis,5,0,pool_09458,0.1088742173699244,0.8956792030709488,0.0900630450510461,0.8956792030709488,300,5,17.58236399160005,0.36223729200009985,17.94460128360015,M,0.0885645751629468,E,0.008031872369816784,6.987003568307651e-17,0.46067617922489207,6.417500614096487e-16,0.5036490725388718,0.09871939626643564,0.4526443068550753,0.9067288716392272,0.49486796934266336,0.01015482110348884,0.0013564275548470968,0.09327112836077214,0.001482958118464824
I51,interior,5,1,pool_00780,1.076678160557536,0.2236305117619625,0.8906508448211998,0.2236305117619625,300,5,20.58116156640026,0.44833395820023725,21.0294955246005,M,0.15077478092077568,M,0.003279914172508766,0.17039534111953256,0.1098771247790437,0.15867988571051617,0.4926470588235277,0.527105096277906,0.11315703895155246,0.4908642213177325,0.5073529411764689,0.37633031535713035,7.500666754367559e-16,0.3504558929717513,3.363012477060518e-15
I52,interior,5,2,pool_01015,1.090066103412036,0.2981306504308081,0.9017256330453836,0.2981306504308081,300,5,44.25848280860028,1.4030301082000733,45.66151291680035,M,0.15497474260657368,X,0.012937031163898272,0.05299145644988895,0.14822071414643506,0.04878947382131493,0.44829974411941725,0.5940540323548001,-0.02125013467187846,0.5469482365978985,0.0642719203639419,0.43907928974822646,0.16115774531033333,0.4042622895807866,0.4874283355166408
I53,interior,5,3,pool_08632,1.0884292499793218,0.481395065962177,0.90037159342045,0.481395065962177,300,5,39.44717411640013,1.6280217913999877,41.075195907800115,M,0.5633708901685268,X,0.007310768119946881,0.14396857760384058,0.21912219608147418,0.13215873418957663,0.4617958921508078,0.7543816818892363,0.028944937716928142,0.6924992233279225,0.06100090988166438,0.1910107917207094,0.22643296420142106,0.17534204248250074,0.4772031979675278
I54,interior,5,4,pool_06063,1.082195563881171,0.6899749123600529,0.8952149570243026,0.6899749123600529,300,5,57.44906271660002,2.069865299799858,59.518928016399876,E,0.002223694674496013,E,0.04260682169682117,0.3872241290634111,0.3265899285025079,0.3590679419919712,0.4871694373316921,0.30619008675353787,0.2839831068056867,0.2839261194152803,0.4236134622662433,0.38500043438891507,0.05980959438075946,0.35700593859274854,0.08921710040206451
I55,interior,5,5,pool_06084,0.8559696330476765,0.7138794292067392,0.7080761036523929,0.7138794292067392,300,5,23.546463974799916,0.5466317752001487,24.093095750000064,M,0.8086990486044608,M,0.009058665897188067,-7.490304672804389e-17,0.34473021033623263,8.735547865187414e-17,0.4935158064601539,0.8330750483563356,0.3537888762334207,0.9715715552442842,0.5064841935398458,0.02437599975187476,-2.546111469807026e-16,0.028428444755715668,3.645013455982548e-16
